                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.61963,                 1.2095,                0.51784,                 1.0632,                0.94125,                0.86875,                0.88695,                0.79388,                 0.9206,                0.84607,                0.85589,                0.69383,                0.48373,                0.91263,                0.41133,                0.86202,               0.008218,               0.008218,               0.008218
                     57,                0.62145,                 1.2117,                0.51123,                  1.063,                0.94074,                0.86855,                0.88758,                0.79534,                0.92321,                0.84988,                0.85753,                0.69411,                0.48221,                0.90886,                0.40995,                0.86079,               0.008185,               0.008185,               0.008185
                     58,                0.61273,                 1.1979,                0.50918,                 1.0571,                0.94007,                0.86729,                0.88779,                0.79647,                0.92386,                0.84821,                0.85719,                0.69413,                0.48076,                0.90527,                0.40843,                0.85988,               0.008152,               0.008152,               0.008152
                     59,                0.60682,                 1.1748,                 0.4997,                 1.0517,                 0.9402,                0.86914,                0.88877,                0.79757,                0.92253,                0.85134,                0.86061,                0.69654,                0.47963,                0.90095,                0.40777,                0.86012,               0.008119,               0.008119,               0.008119
                     60,                0.61797,                  1.189,                0.50818,                 1.0573,                0.94192,                0.86806,                0.88907,                 0.7963,                 0.9231,                0.85113,                0.85898,                0.69728,                0.47724,                0.89674,                 0.4082,                0.85896,               0.008086,               0.008086,               0.008086
                     61,                0.61105,                 1.1944,                0.50427,                 1.0561,                 0.9429,                0.86771,                0.89083,                0.79698,                 0.9248,                0.85058,                0.86038,                0.69738,                0.47553,                0.89341,                0.40686,                0.85743,               0.008053,               0.008053,               0.008053
                     62,                0.60868,                 1.1789,                0.49999,                 1.0537,                0.94236,                0.86853,                0.89149,                 0.7975,                  0.924,                0.85104,                0.86107,                0.69813,                0.47387,                0.89147,                0.40616,                0.85637,                0.00802,                0.00802,                0.00802
                     63,                0.60625,                 1.1865,                 0.4994,                 1.0528,                 0.9448,                0.86828,                0.89217,                0.79837,                0.92584,                0.85008,                 0.8611,                0.69881,                0.47402,                0.88764,                0.40542,                0.85621,               0.007987,               0.007987,               0.007987
                     64,                0.60789,                 1.1811,                0.50144,                 1.0551,                 0.9386,                0.87077,                 0.8912,                0.79865,                0.92113,                 0.8528,                0.86121,                0.69953,                0.47246,                0.88564,                0.40285,                0.85604,               0.007954,               0.007954,               0.007954
                     65,                0.60049,                 1.1704,                0.49406,                 1.0476,                0.93876,                0.87113,                 0.8916,                0.79975,                 0.9214,                0.85328,                0.86126,                0.70019,                0.47002,                 0.8839,                0.39922,                0.85443,               0.007921,               0.007921,               0.007921
                     66,                0.60068,                 1.1688,                0.49633,                 1.0484,                 0.9412,                0.86826,                0.89089,                0.79989,                0.92163,                0.84914,                0.85992,                0.70009,                0.46772,                0.88226,                0.39878,                0.85358,               0.007888,               0.007888,               0.007888
                     67,                0.59783,                 1.1532,                0.48549,                 1.0454,                0.93953,                0.86919,                0.89054,                0.80057,                0.91848,                0.85061,                0.86031,                0.70018,                 0.4656,                0.88038,                 0.3962,                0.85233,               0.007855,               0.007855,               0.007855
                     68,                0.59753,                 1.1551,                0.48951,                 1.0432,                0.93796,                0.87011,                0.89091,                0.80114,                 0.9178,                0.85063,                0.85994,                0.69957,                0.46465,                0.87837,                0.39512,                0.85137,               0.007822,               0.007822,               0.007822
                     69,                0.59823,                 1.1581,                0.48966,                 1.0444,                0.93659,                0.87233,                0.89081,                0.80066,                0.91493,                0.85262,                0.85969,                0.69948,                0.46371,                0.87713,                0.39399,                0.85056,               0.007789,               0.007789,               0.007789
                     70,                0.59435,                 1.1535,                0.48727,                 1.0433,                 0.9359,                0.87354,                0.89107,                0.80176,                0.91578,                0.85449,                0.86136,                0.70037,                0.46244,                0.87525,                0.39417,                0.84944,               0.007756,               0.007756,               0.007756
                     71,                0.59049,                 1.1474,                0.48473,                 1.0386,                0.93531,                0.87355,                0.89124,                0.80259,                0.91646,                0.85536,                0.86183,                0.70081,                0.46159,                0.87285,                0.39312,                 0.8487,               0.007723,               0.007723,               0.007723
                     72,                0.59222,                 1.1449,                0.48139,                 1.0415,                0.93654,                0.87284,                0.89099,                0.80226,                 0.9183,                0.85543,                0.86215,                0.70099,                0.46057,                0.87107,                0.39192,                0.84773,                0.00769,                0.00769,                0.00769
                     73,                0.58773,                 1.1362,                0.47774,                 1.0379,                0.93601,                  0.873,                0.89066,                0.80295,                0.91792,                0.85547,                0.86273,                0.70161,                0.45924,                0.86981,                0.39156,                0.84708,               0.007657,               0.007657,               0.007657
                     74,                0.58991,                 1.1375,                0.48165,                 1.0399,                0.93613,                0.87276,                0.89057,                 0.8026,                0.91747,                0.85557,                0.86248,                0.70165,                0.45842,                0.86767,                0.39133,                0.84651,               0.007624,               0.007624,               0.007624
                     75,                0.58649,                 1.1274,                0.47636,                 1.0373,                0.93683,                0.87314,                0.89062,                0.80262,                0.91845,                0.85536,                0.86239,                0.70125,                0.45762,                0.86589,                0.39034,                0.84627,               0.007591,               0.007591,               0.007591
                     76,                0.58265,                 1.1155,                0.47393,                 1.0341,                0.93677,                0.87247,                0.89106,                0.80298,                 0.9184,                0.85482,                0.86263,                0.70272,                0.45641,                0.86382,                0.39009,                0.84556,               0.007558,               0.007558,               0.007558
                     77,                 0.5844,                 1.1389,                0.47437,                 1.0347,                0.93844,                 0.8719,                0.89112,                0.80301,                0.92027,                0.85535,                0.86375,                0.70312,                0.45611,                0.86229,                0.38958,                0.84511,               0.007525,               0.007525,               0.007525
                     78,                0.58318,                 1.1389,                0.47715,                 1.0352,                0.93751,                0.87162,                0.89089,                0.80368,                0.91935,                0.85436,                0.86391,                0.70328,                0.45549,                0.86147,                0.38853,                0.84493,               0.007492,               0.007492,               0.007492
